OBJECTID,INDEX,ACCNUM,DATE,TIME,STREET1,STREET2,OFFSET,ROAD_CLASS,DISTRICT,LATITUDE,LONGITUDE,ACCLOC,TRAFFCTL,VISIBILITY,LIGHT,RDSFCOND,ACCLASS,IMPACTYPE,INVTYPE,INVAGE,INJURY,FATAL_NO,INITDIR,VEHTYPE,MANOEUVER,DRIVACT,DRIVCOND,PEDTYPE,PEDACT,PEDCOND,CYCLISTYPE,CYCACT,CYCCOND,PEDESTRIAN,CYCLIST,AUTOMOBILE,MOTORCYCLE,TRUCK,TRSN_CITY_VEH,EMERG_VEH,PASSENGER,SPEEDING,AG_DRIV,REDLIGHT,ALCOHOL,DISABILITY,HOOD_158,NEIGHBOURHOOD_158,HOOD_140,NEIGHBOURHOOD_140,DIVISION,x,y
11,3378690,889218,2/20/2006 5:00:00 AM,1840,NEILSON RD,MCLEVIN AVE,,Minor Arterial,Scarborough,43.808145,-79.21999,,No Control,Clear,Dusk,Dry,Fatal,Pedestrian Collisions,Pedestrian,80 to 84,Fatal,,West,Other,,,,Pedestrian hit at mid-block,"Crossing, no Traffic Control",Normal,,,,Yes,,Yes,,,,,,,,,,,145,Malvern West,132,Malvern (132),D42,643171.054103485,4852103.10752624
12,3382084,890506,2/27/2006 5:00:00 AM,501,MARTIN GROVE RD,RACINE RD,,Major Arterial,Etobicoke York,43.717145,-79.58259,,No Control,Clear,Dark,Dry,Fatal,Pedestrian Collisions,Pedestrian,30 to 34,Fatal,,Unknown,Other,,,,Pedestrian hit at mid-block,Pushing/Working on Vehicle,Unknown,,,,Yes,,Yes,,,,,,Yes,Yes,,,,1,West Humber-Clairville,1,West Humber-Clairville (1),D23,614178.893325062,4841432.73323693
13,3385996,891993,3/6/2006 5:00:00 AM,2222,F G GARDINER XY  W,PARK LAWN RD,,,Etobicoke York,43.627745,-79.48149,,No Control,Clear,Dark,Dry,Fatal,Sideswipe,Passenger,15 to 19,Fatal,,,Other,,,,,,,,,,,,Yes,,,,,Yes,,,,Yes,,161,Humber Bay Shores,17,Mimico (includes Humber Bay Shores) (17),D22,622504.783740021,4831647.91325484
14,3387199,892453,3/8/2006 5:00:00 AM,2018,F G GARDINER XY E  E,KIPLING AVE,,,Etobicoke York,43.618845,-79.52039,,No Control,Clear,Dark,Dry,Fatal,Rear End,Passenger,5 to 9,Fatal,,,Other,,,,,,,,,,,,Yes,,,,,Yes,,,,,,160,Mimico-Queensway,17,Mimico (includes Humber Bay Shores) (17),D22,619384.139453359,4830602.79410784
15,3387731,892658,3/11/2006 5:00:00 AM,852,BLOOR ST W,DUNDAS ST W,,Major Arterial,Toronto and East York,43.656345,-79.45249,At Intersection,Traffic Signal,Clear,Daylight,Dry,Fatal,Pedestrian Collisions,Pedestrian,65 to 69,Fatal,,North,Other,,,,Vehicle turns left while ped crosses with ROW at inter.,Crossing with right of way,Unknown,,,,Yes,,Yes,,,,,,,Yes,,,,88,High Park North,88,High Park North (88),D11,624785.137950398,4834867.50977815
16,3388101,892810,3/11/2006 5:00:00 AM,915,MORNINGSIDE AVE,SHEPPARD AVE E,,Major Arterial,Scarborough,43.801943,-79.199786,At Intersection,Traffic Signal,Clear,Daylight,Dry,Fatal,Turning Movement,Motorcycle Driver,45 to 49,Fatal,,East,Motorcycle,Turning Right,Disobeyed Traffic Control,Unknown,,,,,,,,,Yes,Yes,,,,,,Yes,Yes,,,146,Malvern East,132,Malvern (132),D42,644811.122682319,4851449.432911
17,3387795,892682,3/12/2006 5:00:00 AM,240,EGLINTON AVE E,COMMONWEALTH AVE,,Major Arterial,Scarborough,43.734945,-79.25619,,No Control,Clear,Dark,Dry,Fatal,Pedestrian Collisions,Pedestrian,40 to 44,Fatal,,South,Other,,,,Pedestrian hit at mid-block,"Crossing, no Traffic Control",Normal,,,,Yes,,Yes,,,,,,,,,Yes,,124,Kennedy Park,138,Eglinton East (138),D41,640430.583510007,4843911.10319352
18,3389259,893251,3/15/2006 5:00:00 AM,1535,ISLINGTON AVE,DIXON RD,,Major Arterial,Etobicoke York,43.697045,-79.54669,At Intersection,Traffic Signal,Clear,Daylight,Dry,Fatal,Pedestrian Collisions,Pedestrian,20 to 24,Fatal,,North,Other,,,,Vehicle is going straight thru inter.while ped cross without ROW,Crossing without right of way,Normal,,,,Yes,,Yes,,,,,,,,,,,6,Kingsview Village-The Westway,6,Kingsview Village-The Westway (6),D23,617109.9584665,4839250.43132823
19,3400977,897664,4/15/2006 4:00:00 AM,2000,YONGE ST,BREADALBANE ST,,Major Arterial,Toronto and East York,43.663745,-79.38409,,No Control,Clear,Dark,Dry,Fatal,Pedestrian Collisions,Pedestrian,40 to 44,Fatal,,West,Other,,,,Pedestrian hit at mid-block,Running onto Roadway,Unknown,,,,Yes,,Yes,,,,,,,,,,,169,Bay-Cloverhill,75,Church-Yonge Corridor (75),D52,630284.695198555,4835794.51666832
20,3401621,897916,4/18/2006 4:00:00 AM,1930,WARDEN AVE,COMSTOCK RD,,Major Arterial,Scarborough,43.721545,-79.28499,At Intersection,Traffic Signal,Clear,Daylight,Dry,Fatal,Angle,Passenger,30 to 34,Fatal,,,Other,,,,,,,,,,,,Yes,,,Yes,,Yes,,Yes,Yes,,,120,Clairlea-Birchmount,120,Clairlea-Birchmount (120),D41,638142.069038585,4842374.42385013
21,3402769,898340,4/20/2006 4:00:00 AM,843,AVENUE RD,CORTLEIGH BLVD,,Major Arterial,North York,43.713045,-79.41179,At Intersection,No Control,Clear,Daylight,Dry,Fatal,Cyclist Collisions,Cyclist,45 to 49,Fatal,,South,Bicycle,Going Ahead,,,,,,"Motorist turns right at non-signal Inter.(stop, yield, no cont.,and dwy) and strikes cyclist.",Driving Properly,Normal,,Yes,,,Yes,,,,,,,,,103,Lawrence Park South,103,Lawrence Park South (103),D53,627946.462265024,4841226.83141385
22,3532637,898350,4/20/2006 4:00:00 AM,2053,KEELE ST,FINCH AVE W,,Major Arterial,Etobicoke York,43.763445,-79.49099,At Intersection,Traffic Signal,Clear,Dark,Dry,Fatal,Cyclist Collisions,Cyclist,15 to 19,Fatal,,North,Bicycle,Making U Turn,,,,,,Cyclist makes u-turn in-front of driver.,Improper Turn,Had Been Drinking,,Yes,,,Yes,,,,,,,,,27,York University Heights,27,York University Heights (27),D31,621464.092771426,4846705.27707342
23,3603054,900120,4/29/2006 4:00:00 AM,2136,MILLWICK DR,MILVAN DR,,Collector,Etobicoke York,43.758145,-79.55959,,No Control,Clear,Dark,Dry,Fatal,SMV Other,Passenger,40 to 44,Fatal,,,Other,,,,,,,,,,,,Yes,,,,,Yes,Yes,Yes,,,,21,Humber Summit,21,Humber Summit (21),D31,615952.50036418,4846018.3079293
24,3407617,900159,4/30/2006 4:00:00 AM,857,QUEEN ST E,FALLINGBROOK RD,,Collector,Scarborough,43.675345,-79.27639,At Intersection,Stop Sign,Clear,Daylight,Dry,Fatal,SMV Other,Driver,55 to 59,Fatal,,East,"Automobile, Station Wagon",Going Ahead,Speed too Fast For Condition,Unknown,,,,,,,,,Yes,,,,,,Yes,Yes,,,,122,Birchcliffe-Cliffside,122,Birchcliffe-Cliffside (122),D41,638941.470473833,4837257.62658799
25,3409199,900756,5/3/2006 4:00:00 AM,1032,DUNDAS ST W,SHAW ST,,Major Arterial,Toronto and East York,43.649845,-79.41829,At Intersection,Traffic Signal,Clear,Daylight,Dry,Fatal,Pedestrian Collisions,Pedestrian,70 to 74,Fatal,,North,Other,,,,Vehicle turns left while ped crosses with ROW at inter.,Crossing with right of way,Normal,,,,Yes,,Yes,,,,,,,Yes,,,,81,Trinity-Bellwoods,81,Trinity-Bellwoods (81),D14,627556.679121963,4834197.60049111
26,3416416,903449,5/17/2006 4:00:00 AM,1810,STILECROFT DR,SENTINEL RD,,Local,North York,43.750745,-79.49259,,No Control,Rain,Daylight,Wet,Fatal,Pedestrian Collisions,Pedestrian,0 to 4,Fatal,,North,Other,,,,Pedestrian hit at mid-block,Running onto Roadway,Normal,,,,Yes,,Yes,,,,,,,,,,,27,York University Heights,27,York University Heights (27),D31,621360.974810984,4845292.40906306
27,3532752,904456,5/23/2006 4:00:00 AM,1840,BATHURST ST,GLENCAIRN AVE,,Major Arterial,North York,43.712345,-79.42809,At Intersection,Traffic Signal,Clear,Daylight,Dry,Fatal,Pedestrian Collisions,Pedestrian,40 to 44,Fatal,,West,Other,,,,Vehicle turns right while ped crosses with ROW at inter.,Crossing with right of way,Normal,,,,Yes,,Yes,,,,,,,Yes,,,,39,Bedford Park-Nortown,39,Bedford Park-Nortown (39),D53,626634.793562374,4841124.05538656
28,3422670,905761,5/30/2006 4:00:00 AM,2328,ROSEDALE VALLEY RD,BAYVIEW AVE,,Minor Arterial,Toronto and East York,43.671645,-79.36609,,No Control,Clear,Dark,Dry,Fatal,SMV Other,Motorcycle Driver,25 to 29,Fatal,,East,Motorcycle,Going Ahead,Lost control,Normal,,,,,,,,,,Yes,,,,,,Yes,,,,71,Cabbagetown-South St.James Town,71,Cabbagetown-South St.James Town (71),D51,631718.701418481,4836700.34257107
29,3603123,906207,6/2/2006 4:00:00 AM,734,KINGSTON RD,DUNDAS ST E,,Major Arterial,Toronto and East York,43.669945,-79.31119,,Traffic Signal,Clear,Daylight,Dry,Fatal,Pedestrian Collisions,Pedestrian,50 to 54,Fatal,,East,Other,,,,Vehicle is going straight thru inter.while ped cross without ROW,Crossing without right of way,Inattentive,,,,Yes,,Yes,,,,,,,,,,,63,The Beaches,63,The Beaches (63),D55,636148.394334799,4836600.17616175
30,3425308,906767,6/5/2006 4:00:00 AM,1906,BLOOR ST W,HAVELOCK ST,,Major Arterial,Toronto and East York,43.660445,-79.43239,At Intersection,Traffic Signal,Clear,Daylight,Dry,Fatal,Pedestrian Collisions,Pedestrian,75 to 79,Fatal,,South,Other,,,,Vehicle turns left while ped crosses with ROW at inter.,Crossing with right of way,Had Been Drinking,,,,Yes,,Yes,,,,,,,Yes,,,,83,Dufferin Grove,83,Dufferin Grove (83),D14,626397.335667049,4835353.29260688
31,3427626,907646,6/10/2006 4:00:00 AM,934,MIDLAND AVE,ROMULUS DR,,Major Arterial,Scarborough,43.747045,-79.26339,,No Control,Clear,Daylight,Dry,Fatal,SMV Other,Passenger,85 to 89,Fatal,,,Other,,,,,,,,,,,,Yes,,,,,Yes,,Yes,,,,157,Bendale South,127,Bendale (127),D41,639822.583008116,4845242.81175386
32,3603195,909261,6/19/2006 4:00:00 AM,1208,LAKE SHORE BLVD W,FIFTH ST,,Major Arterial,Etobicoke York,43.601245,-79.50299,At Intersection,Traffic Signal,Clear,Daylight,Dry,Fatal,Pedestrian Collisions,Pedestrian,85 to 89,Fatal,,Unknown,Other,,,,Pedestrian involved in a collision with transit vehicle anywhere along roadway,Crossing without right of way,Normal,,,,Yes,,,,,Yes,,,,,,,,18,New Toronto,18,New Toronto (18),D22,620823.326531316,4828673.26568421
33,3603208,909409,6/20/2006 4:00:00 AM,2055,BARTLEY DR,TISDALE AVE,,Collector,North York,43.722245,-79.30709,At Intersection,Stop Sign,Clear,Dark,Dry,Fatal,SMV Unattended Vehicle,Motorcycle Driver,30 to 34,Fatal,,West,Motorcycle,Going Ahead,Exceeding Speed Limit,Normal,,,,,,,,,Yes,Yes,,,,Yes,Yes,Yes,,,,43,Victoria Village,43,Victoria Village (43),D55,636360.331309302,4842415.56776904
34,3445696,914314,7/19/2006 4:00:00 AM,2230,BLOOR ST W,LANSDOWNE AVE,,Major Arterial,Toronto and East York,43.658345,-79.44269,At Intersection,Traffic Signal,Clear,Dark,Dry,Fatal,Pedestrian Collisions,Pedestrian,45 to 49,Fatal,,South,Other,,,,Vehicle turns right while ped crosses with ROW at inter.,Crossing with right of way,Normal,,,,Yes,,Yes,,,,,,,Yes,,,,83,Dufferin Grove,93,Dovercourt-Wallace Emerson-Junction (93),D11,625571.210086372,4835104.42046486
35,3447077,914846,7/23/2006 4:00:00 AM,1357,VICTORIA PARK AVE,BISCAYNE BLVD,,Major Arterial,North York,43.729145,-79.30449,,No Control,Rain,Daylight,Wet,Fatal,Pedestrian Collisions,Pedestrian,70 to 74,Fatal,,West,Other,,,,Vehicle is going straight thru inter.while ped cross without ROW,"Crossing, no Traffic Control",Unknown,,,,Yes,,Yes,,,,,,,,,,,43,Victoria Village,43,Victoria Village (43),D33,636554.078491011,4843186.19535276
36,3603374,915991,7/28/2006 4:00:00 AM,1626,ISLINGTON AVE,DIXON RD,,Major Arterial,Etobicoke York,43.694445,-79.54549,,No Control,Clear,Daylight,Dry,Fatal,Pedestrian Collisions,Pedestrian,20 to 24,Fatal,,South,Other,,,,Pedestrian hit on sidewalk or shoulder,On Sidewalk or Shoulder,Normal,,,,Yes,,Yes,,,,,Yes,,,,,,6,Kingsview Village-The Westway,6,Kingsview Village-The Westway (6),D23,617211.722312307,4838963.36169351
37,3450204,916024,7/30/2006 4:00:00 AM,2155,F G GARDINER XY Ramp W,GARDINER W S KINGSWAY RAMP,,,Toronto and East York,43.634645,-79.47159,,No Control,Clear,Dark,Dry,Fatal,SMV Other,Motorcycle Driver,20 to 24,Fatal,,West,Motorcycle,Going Ahead,Lost control,Unknown,,,,,,,,,,Yes,,,,,,,,,,85,South Parkdale,85,South Parkdale (85),D11,623289.358084489,4832428.90075553
38,3451850,916630,8/1/2006 4:00:00 AM,2345,NEILSON RD,WICKSON TRL,,Minor Arterial,Scarborough,43.802045,-79.21779,At Intersection,Traffic Signal,Clear,Dark,Dry,Fatal,Pedestrian Collisions,Pedestrian,30 to 34,Fatal,,East,Other,,,,Vehicle is going straight thru inter.while ped cross without ROW,Crossing without right of way,Had Been Drinking,,,,Yes,,Yes,,,,,,,,,,,146,Malvern East,132,Malvern (132),D42,643362.600523358,4851429.41225507
39,3603408,917154,8/3/2006 4:00:00 AM,130,JANE ST,FOXWELL ST,,Major Arterial,Etobicoke York,43.672145,-79.49399,,No Control,Rain,Dark,Wet,Fatal,Pedestrian Collisions,Pedestrian,50 to 54,Fatal,,East,Other,,,,Pedestrian hit at mid-block,Running onto Roadway,Unknown,,,,Yes,,Yes,,,,,,,,,,,111,Rockcliffe-Smythe,111,Rockcliffe-Smythe (111),D12,621406.857739413,4836560.73348248
40,3459042,919332,8/18/2006 4:00:00 AM,1639,SCARBOROUGH GOLF CLUB RD,BRIMORTON DR,,Minor Arterial,Scarborough,43.769845,-79.21869,,Traffic Signal,Clear,Daylight,Dry,Fatal,Approaching,Passenger,65 to 69,Fatal,,,Other,,,,,,,,,,,,Yes,,,,,Yes,,,,,,135,Morningside,135,Morningside (135),D43,643367.165265818,4847851.52949148
41,3459026,919330,8/18/2006 4:00:00 AM,2100,BELLAMY RD N,PROGRESS AVE,,Minor Arterial,Scarborough,43.780145,-79.24379,At Intersection,Traffic Signal,Clear,Dark,Dry,Fatal,Turning Movement,Passenger,70 to 74,Fatal,,,Other,,,,,,,,,,,,Yes,,,,,Yes,,,,,,142,Woburn North,137,Woburn (137),D43,641322.723406073,4848952.35121617
42,3603481,919641,8/19/2006 4:00:00 AM,1335,ELLESMERE RD,POLLARD DR,,Major Arterial,Scarborough,43.758345,-79.31299,,No Control,Clear,Daylight,Dry,Fatal,Pedestrian Collisions,Pedestrian,5 to 9,Fatal,,South,Other,,,,Pedestrian hit at mid-block,Running onto Roadway,Medical or Physical Disability,,,,Yes,,Yes,,,,,,,,,,,119,Wexford/Maryvale,119,Wexford/Maryvale (119),D41,635803.448700871,4846415.319754
43,3459516,919516,8/19/2006 4:00:00 AM,2345,QUEEN ST E,LESLIE ST,,Minor Arterial,Toronto and East York,43.663245,-79.33019,At Intersection,Traffic Signal,Clear,Dark,Dry,Fatal,Pedestrian Collisions,Pedestrian,60 to 64,Fatal,,North,Other,,,,Vehicle turns right while ped crosses with ROW at inter.,Crossing with right of way,Had Been Drinking,,,,Yes,,Yes,,,,,,,Yes,,,,65,Greenwood-Coxwell,70,South Riverdale (70),D55,634631.613783769,4835825.04135043
44,3462225,920502,8/25/2006 4:00:00 AM,2330,LESLIE ST,COLDWATER RD,,Major Arterial,North York,43.755245,-79.36049,,No Control,Rain,Dark,Wet,Fatal,Turning Movement,Driver,60 to 64,Fatal,,West,"Automobile, Station Wagon",Turning Left,Failed to Yield Right of Way,Unknown,,,,,,,,,Yes,,,,,,,Yes,,,,40,St.Andrew-Windfields,40,St.Andrew-Windfields (40),D33,631986.499368251,4845994.22577511
45,3462733,920690,8/27/2006 4:00:00 AM,1928,F G GARDINER XY  W,BATHURST ST,,,Toronto and East York,43.637945,-79.40389,,No Control,Clear,Daylight,Dry,Fatal,SMV Other,Motorcycle Driver,30 to 34,Fatal,,West,Motorcycle,Going Ahead,Lost control,Unknown,,,,,,,,,,Yes,,,,,,,,,,163,Fort York-Liberty Village,82,Niagara (82),D14,628743.393177247,4832898.18651129
46,3468891,922948,9/9/2006 4:00:00 AM,308,MORNINGSIDE AVE,SHEPPARD AVE E,,Major Arterial,Scarborough,43.801945,-79.19979,,Traffic Signal,Clear,Dark,Wet,Fatal,Angle,Passenger,25 to 29,Fatal,,,Other,,,,,,,,,,,,Yes,,Yes,,,Yes,,Yes,Yes,,,146,Malvern East,132,Malvern (132),D42,644810.796081712,4851449.64804357
47,3470109,923394,9/11/2006 4:00:00 AM,1629,EGLINTON AVE E,LESLIE ST,,Major Arterial,North York,43.715945,-79.35349,At Intersection,No Control,Clear,Daylight,Dry,Fatal,Cyclist Collisions,Cyclist,45 to 49,Fatal,,West,Bicycle,Going Ahead,,,,,,Cyclist and Driver travelling in same direction. One vehicle sideswipes the other.,Driving Properly,Normal,,Yes,,,Yes,,,,,Yes,,,,55,Thorncliffe Park,55,Thorncliffe Park (55),D53,632636.769816302,4841640.56124604
48,3603718,925837,9/22/2006 4:00:00 AM,2158,BRIMLEY RD,WETHERBY DR,,Major Arterial,Scarborough,43.738745,-79.24919,At Intersection,No Control,Rain,Dark,Wet,Fatal,SMV Other,Driver,40 to 44,Fatal,,South,"Automobile, Station Wagon",Turning Left,Lost control,Inattentive,,,,,,,,,Yes,,,,,,Yes,Yes,,,,138,Eglinton East,138,Eglinton East (138),D43,640985.38772826,4844345.03879499
49,3490523,930890,10/18/2006 4:00:00 AM,2136,OLD FINCH AVE,REESOR RD,,Collector,Scarborough,43.824745,-79.19059,,No Control,Clear,Dark,Dry,Fatal,SMV Other,Motorcycle Driver,20 to 24,Fatal,,West,Motorcycle,Going Ahead,Lost control,Inattentive,,,,,,,,,,Yes,,,,,,,,,,144,Morningside Heights,131,Rouge (131),D42,645495.479651715,4853998.1057849
50,3551773,933173,10/29/2006 4:00:00 AM,35,HIGHWAY 27  N,HUMBER COLLEGE BLVD,,Major Arterial,Etobicoke York,43.730445,-79.60139,At Intersection,Traffic Signal,Rain,Dark,Wet,Fatal,Pedestrian Collisions,Pedestrian,15 to 19,Fatal,,East,Other,,,,Vehicle is going straight thru inter.while ped cross without ROW,Crossing without right of way,Unknown,,,,Yes,,Yes,,,,,,,,,,,1,West Humber-Clairville,1,West Humber-Clairville (1),D23,612639.529396529,4842884.15797646
51,3505146,936341,11/4/2006 5:00:00 AM,1805,BIRCHMOUNT RD,IVY BUSH AVE,,Major Arterial,Scarborough,43.810745,-79.31209,At Intersection,Traffic Signal,Clear,Dark,Dry,Fatal,Turning Movement,Driver,75 to 79,Fatal,,South,"Automobile, Station Wagon",Turning Left,Failed to Yield Right of Way,Unknown,,,,,,,,,Yes,,,,,,,Yes,,,,116,Steeles,116,Steeles (116),D42,635757.22998693,4852236.63838672
52,3604962,935742,11/11/2006 5:00:00 AM,638,F G GARDINER XY  W,GARDINER W LAKE SHORE W RAMP,,,Etobicoke York,43.629745,-79.47859,,No Control,Clear,Dark,Wet,Fatal,Sideswipe,Driver,45 to 49,Fatal,,West,"Automobile, Station Wagon",Going Ahead,Lost control,Unknown,,,,,,,,,Yes,,,,,Yes,,,,,,161,Humber Bay Shores,17,Mimico (includes Humber Bay Shores) (17),D22,622734.670826853,4831874.32150663
53,3533967,939458,11/30/2006 5:00:00 AM,720,WILSON AVE,BATHURST ST,,Major Arterial,North York,43.737345,-79.43409,,No Control,Rain,Dark,Wet,Fatal,Pedestrian Collisions,Pedestrian,65 to 69,Fatal,,South,Other,,,,Pedestrian hit at mid-block,"Crossing, no Traffic Control",Medical or Physical Disability,,,,Yes,,Yes,,,,,,,,,,,33,Clanton Park,33,Clanton Park (33),D32,626098.957722699,4843891.51460612
54,3552006,940637,12/7/2006 5:00:00 AM,1545,BRIMLEY RD,HUNTINGWOOD DR,,Major Arterial,Scarborough,43.795845,-79.27219,,No Control,Clear,Daylight,Dry,Fatal,Pedestrian Collisions,Pedestrian,80 to 84,Fatal,,East,Other,,,,Pedestrian hit at mid-block,"Crossing, no Traffic Control",Unknown,,,,Yes,,Yes,,,,,,,,,,,129,Agincourt North,129,Agincourt North (129),D42,639000.942568285,4850647.99462052
55,3516851,940775,12/8/2006 5:00:00 AM,1719,JANE ST,BEXLEY CRES,,Major Arterial,Etobicoke York,43.680545,-79.49759,,No Control,Clear,Dark,Dry,Fatal,Pedestrian Collisions,Pedestrian,55 to 59,Fatal,,East,Other,,,,Vehicle is going straight thru inter.while ped cross without ROW,"Crossing, no Traffic Control",Unknown,,,,Yes,,Yes,,,,,Yes,,,,,,111,Rockcliffe-Smythe,111,Rockcliffe-Smythe (111),D12,621099.743742671,4837488.40264145
56,3609254,943986,12/23/2006 5:00:00 AM,1809,O CONNOR DR,LEAFY WOODWAY,,Major Arterial,North York,43.722245,-79.30359,,No Control,Rain,Dark,Wet,Fatal,Pedestrian Collisions,Pedestrian,65 to 69,Fatal,,North,Other,,,,Pedestrian hit at mid-block,"Crossing, no Traffic Control",Inattentive,,,,Yes,,Yes,,,,,,,,,,,43,Victoria Village,43,Victoria Village (43),D55,636642.252104166,4842421.33270373
57,3552178,944038,12/24/2006 5:00:00 AM,850,MARKHAM RD,PAINTED POST DR,,Major Arterial,Scarborough,43.767545,-79.22839,At Intersection,Traffic Signal,Clear,Daylight,Dry,Fatal,Angle,Driver,40 to 44,Fatal,,West,"Automobile, Station Wagon",Going Ahead,Driving Properly,Unknown,,,,,,,,,Yes,,,,,,,Yes,Yes,,,142,Woburn North,137,Woburn (137),D43,642591.925495004,4847579.32846235
